seqnames	start	end	width	strand	gene_id	name	hid	p	fdr	count	effectsize	count.pred	count.density	count.pred.density	eligible	p.neg	fdr.neg
chr1	149884459	149886652	2194	-	8349	H2BC21	5493	7.7e-7	4.6e-4	10	4.68	0.391	0.0262	0.00103	381	1	1
chr11	70203163	70207390	4228	+	8772	FADD	5810	8.8e-7	5.2e-4	13	4.4	0.615	0.0207	9.82e-4	627	1	1
chr12	122019422	122062044	42623	+	605	BCL7A	418	1.4e-6	8.1e-4	34	3.8	2.45	0.0416	0.00299	818	1	1
chr18	32672673	32773023	100351	-	57565	KLHL14	11738	2.5e-6	0.0014	44	3.69	3.41	0.0165	0.00128	2667	1	1
chr6	105993463	106109939	116477	+	639	PRDM1	440	2.8e-6	0.0015	59	3.61	4.82	0.0193	0.00158	3050	1	1
chr9	21967753	21995301	27549	-	1029	CDKN2A	746	3.2e-6	0.0017	31	3.71	2.37	0.014	0.00107	2216	1	1
chr12	12715058	12722369	7312	+	1027	CDKN1B	744	4.3e-6	0.0023	19	3.92	1.25	0.0204	0.00134	933	1	1
chr12	14770555	14771131	577	-	121504	H4-16	15035	4.8e-6	0.0025	9	4.49	0.401	0.0288	0.00129	312	1	1
chr6	26234268	26234933	666	-	3007	H1-3	2050	5.4e-6	0.0028	34	3.64	2.73	0.0511	0.0041	666	1	1
chrX	119574536	119591083	16548	+	7319	UBE2A	5027	5.7e-6	0.0029	43	3.56	3.65	0.0179	0.00152	2399	1	1
chr3	50226292	50259362	33071	+	2771	GNAI2	1855	6.6e-6	0.0032	35	3.58	2.93	0.026	0.00218	1344	1	1
chr14	35401511	35404749	3239	-	4792	NFKBIA	3177	7.1e-6	0.0034	23	3.75	1.71	0.0166	0.00123	1389	1	1
chr6	27133042	27135291	2250	+	8969	H2AC11	5953	8e-6	0.0038	9	4.41	0.422	0.0229	0.00107	393	1	1
chr6	44258166	44265788	7623	-	4794	NFKBIE	3179	9.4e-6	0.0044	43	3.51	3.78	0.0212	0.0018600000000000001	2031	1	1
chr17	63917200	63931385	14186	-	2688	GH1	1803	1.2e-5	0.0055	71	3.4	6.72	0.0455	0.0043	1562	1	1
chr6	32517353	32530287	12935	-	3127	HLA-DRB5	2140	1.3e-5	0.0058	14	3.86	0.963	0.0175	0.0012	801	1	1
chr17	78356778	78360077	3300	-	9021	SOCS3	5982	1.3e-5	0.0058	18	3.75	1.33	0.0248	0.00184	725	1	1
chr6	106045423	106325791	280369	-	9474	ATG5	6319	1.4e-5	0.006	60	3.41	5.63	0.0146	0.00137	4120	1	1
chr10	49942049	49974850	32802	+	100652748	TIMM23B	23801	1.4e-5	0.006	8	4.22	0.428	0.0141	7.55e-4	567	1	1
chr16	3725054	3880726	155673	-	1387	CREBBP	977	1.7e-5	0.0071	88	3.34	8.7	0.0103	0.00102	8505	1	1
chr7	102579646	102616757	37112	-	10156	RASA4	6891	1.7e-5	0.0071	31	3.49	2.77	0.0092	8.21e-4	3369	1	1
chr19	1407569	1435687	28119	+	26528	DAZAP1	8928	2e-5	0.0082	29	3.51	2.55	0.0182	0.0016	1594	1	1
chr1	146146521	146229026	82506	-	388677	NOTCH2NLA	18985	2.4e-5	0.0097	9	3.95	0.582	0.0117	7.56e-4	770	1	1
chr12	113057690	113098028	40339	+	1840	DTX1	1302	2.5e-5	0.01	88	3.28	9.06	0.0472	0.00486	1863	1	1
chr17	42313324	42388568	75245	-	6774	STAT3	4649	2.6e-5	0.01	58	3.33	5.77	0.0202	0.00201	2878	1	1
chr6	27138588	27139881	1294	+	8294	H4C9	5455	2.6e-5	0.01	7	4.39	0.335	0.0224	0.00107	312	1	1
chr16	28688558	28735730	47173	+	8663	EIF3C	5729	2.7e-5	0.01	30	3.44	2.77	0.00927	8.57e-4	3236	1	1
chrX	77826364	77895593	69230	-	84061	MAGT1	13535	2.7e-5	0.01	14	3.65	1.12	0.0115	9.14e-4	1221	1	1
chr2	8678845	8684461	5617	+	3398	ID2	2314	3e-5	0.011	8	4.2	0.435	0.0198	0.00107	405	1	1
chr5	158695916	159099916	404001	-	1879	EBF1	1327	3.1e-5	0.011	43	3.33	4.29	0.0217	0.00217	1978	1	1
chr6	32578769	32589848	11080	-	3123	HLA-DRB1	2139	3.6e-5	0.013	15	3.66	1.19	0.0187	0.00148	801	1	1
chr1	23557926	23559501	1576	-	3399	ID3	2315	4e-5	0.014	26	3.42	2.43	0.0722	0.00674	360	1	1
chr7	2906141	3043945	137805	-	84433	CARD11	13732	4.1e-5	0.014	88	3.21	9.51	0.0221	0.00239	3977	1	1
chrX	48913182	48919024	5843	-	11040	PIM2	7590	4.5e-5	0.016	34	3.31	3.44	0.0248	0.00251	1371	1	1
chr6	137867214	137883312	16099	+	7128	TNFAIP3	4909	6.6e-5	0.023	97	3.13	11.1	0.0201	0.00229	4832	1	1
chr17	65009289	65056740	47452	-	10672	GNA13	7317	8.6e-5	0.029	42	3.17	4.67	0.0309	0.00344	1359	1	1
chr19	19145567	19170289	24723	-	100271849	MEF2B	22151	9.3e-5	0.031	62	3.12	7.11	0.0313	0.00359	1981	1	1
chr3	186783205	186789897	6693	+	1974	EIF4A2	1379	1e-4	0.033	18	3.32	1.8	0.0112	0.00112	1603	1	1
chr3	49359145	49412097	52953	-	387	RHOA	280	1.1e-4	0.036	22	3.28	2.27	0.0256	0.00264	861	1	1
chr16	23835983	24220611	384629	+	5579	PRKCB	3752	1.2e-4	0.038	27	3.19	2.96	0.00955	0.00105	2828	1	1
chr5	6582136	6600288	18153	+	255167	LINC01018	17358	1.2e-4	0.038	5	4.25	0.263	0.0163	8.58e-4	307	1	1
chr6	26158146	26171349	13204	+	3017	H2BC5	2058	1.4e-4	0.044	10	3.64	0.802	0.0262	0.00211	381	1	1
chrX	1462581	1537185	74605	-	286530	P2RY8	18122	1.4e-4	0.044	42	3.09	4.93	0.0349	0.0041	1202	1	1
chr1	234604269	234609525	5257	-	359948	IRF2BP2	18678	1.5e-4	0.046	62	3.04	7.56	0.0224	0.00274	2764	1	1
chr1	149886975	149887364	390	+	8338	H2AC20	5482	1.7e-4	0.052	6	3.91	0.4	0.0154	0.00103	390	1	1
chr8	58805412	59119147	313736	-	9760	TOX	6557	1.8e-4	0.054	17	3.21	1.84	0.0108	0.00116	1581	1	1
chr15	34379068	34437466	58399	-	23015	GOLGA8A	7977	1.9e-4	0.057	20	3.16	2.24	0.00917	0.00103	2181	1	1
chr13	40469953	40666641	196689	-	2308	FOXO1	1628	2e-4	0.058	45	3.03	5.51	0.0229	0.0028	1968	1	1
chr15	66386817	66492312	105496	+	5604	MAP2K1	3777	2e-4	0.058	14	3.32	1.4	0.0115	0.00114	1222	1	1
chr6	134169246	134318112	148867	-	6446	SGK1	4376	2.8e-4	0.081	57	2.95	7.4	0.0194	0.00253	2931	1	1
chr3	187721377	187745725	24349	-	604	BCL6	417	3.5e-4	0.1	62	2.89	8.38	0.0238	0.00322	2600	1	1
chr19	507497	519654	12158	+	91978	TPGS1	14410	4.2e-4	0.12	10	3.29	1.03	0.0115	0.00117	873	1	1
chr15	34382069	34528371	146303	-	100302160	MIR1233-1	22337	4.2e-4	0.12	18	3.05	2.17	0.00825	9.97e-4	2181	1	1
chr10	45972489	46003742	31254	+	100287932	TIMM23	22217	4.4e-4	0.12	7	3.61	0.573	0.0111	9.09e-4	630	1	1
chr1	6521347	6554513	33167	-	79707	NOL9	12730	4.9e-4	0.13	25	2.97	3.19	0.0119	0.00151	2109	1	1
chr6	26269405	26271815	2411	-	8355	H3C8	5499	5.1e-4	0.14	9	3.31	0.905	0.0219	0.0022	411	1	1
chr6	27837947	27838339	393	-	8330	H2AC15	5477	5.2e-4	0.14	8	3.27	0.827	0.0204	0.00211	393	1	1
chr15	34525207	34588503	63297	-	440270	GOLGA8B	19898	5.5e-4	0.15	16	3.09	1.88	0.00732	8.58e-4	2187	1	1
chr8	127686343	127738987	52645	-	100270680	CASC11	22143	6.3e-4	0.17	36	2.84	5.02	0.0088	0.00123	4091	1	1
chr16	29454562	29458219	3658	+	548593	SLX1A	20228	7.2e-4	0.19	9	3.2	0.981	0.00823	8.97e-4	1093	1	1
chr1	38838198	38874494	36297	-	64121	RRAGC	12137	7.4e-4	0.19	15	3.01	1.87	0.00825	0.00103	1819	1	1
chr12	10699089	10723323	24235	-	8531	YBX3	5629	7.5e-4	0.19	10	3.11	1.16	0.0087	0.00101	1149	1	1
chr19	19145567	19192158	46592	-	4207	BORCS8-MEF2B	2866	7.7e-4	0.19	62	2.73	9.33	0.0234	0.00353	2645	1	1
chr9	36833269	37034268	201000	-	5079	PAX5	3376	8.5e-4	0.21	31	2.79	4.47	0.0188	0.00271	1647	1	1
chr3	183487551	183555706	68156	-	89857	KLHL6	14166	9e-4	0.22	57	2.72	8.66	0.0268	0.00407	2126	1	1
chrX	41333284	41364472	31189	+	1654	DDX3X	1177	0.001	0.25	28	2.77	4.11	0.00747	0.0011	3748	1	1
chr8	127735434	127742951	7518	+	4609	MYC	3039	0.0011	0.27	38	2.69	5.89	0.00792	0.00123	4799	1	1
chr16	11249649	11381662	132014	+	116028	RMI2	14826	0.0012	0.29	79	2.63	12.7	0.0251	0.00404	3150	1	1
chr1	149813271	149813681	411	-	653604	H3C13	20850	0.0012	0.29	5	3.7	0.386	0.0122	9.38e-4	411	1	1
chrX	151396515	151409364	12850	+	203547	VMA21	16942	0.0013	0.31	5	3.61	0.411	0.00954	7.84e-4	524	1	1
chr10	49942056	50011654	69599	+	113218477	LINC00843	27045	0.0013	0.31	15	2.89	2.02	0.00571	7.7e-4	2628	1	1
chr9	21802636	22029594	226959	+	4507	MTAP	3001	0.0014	0.32	31	2.7	4.76	0.00681	0.00104	4555	1	1
chr1	6590724	6614607	23884	-	9903	KLHL21	6682	0.0014	0.32	21	2.72	3.19	0.00766	0.00116	2741	1	1
chr17	62423867	62450822	26956	+	339175	METTL2A	18256	0.0014	0.32	9	3	1.12	0.00787	9.82e-4	1144	1	1
chr1	114704469	114716771	12303	-	4893	NRAS	3251	0.0015	0.34	5	3.29	0.512	0.00877	8.97e-4	570	1	1
chr11	4384897	4393702	8806	-	6737	TRIM21	4622	0.0015	0.34	10	2.91	1.33	0.00589	7.84e-4	1699	1	1
chr14	95709947	95714196	4250	-	8115	TCL1A	5403	0.0016	0.35	12	2.8	1.72	0.025	0.00359	480	1	1
chr6	27824108	27824480	373	+	8363	H4C11	5507	0.0016	0.35	6	3.19	0.657	0.0192	0.00211	312	1	1
chr21	42843094	42879568	36475	-	10785	WDR4	7390	0.0016	0.35	11	2.85	1.53	0.00888	0.00123	1239	1	1
chr19	33373685	33382686	9002	+	1054	CEBPG	766	0.0017	0.36	4	3.36	0.389	0.00883	8.58e-4	453	1	1
chr11	22622890	22625841	2952	-	2188	FANCF	1538	0.0017	0.36	7	2.99	0.882	0.00622	7.84e-4	1125	1	1
chr1	119911553	120100688	189136	-	4853	NOTCH2	3223	0.0017	0.36	48	2.59	7.96	0.00588	9.75e-4	8167	1	1
chr1	171700160	171742074	41915	-	8674	VAMP4	5739	0.0017	0.36	5	3.37	0.483	0.0105	0.00102	474	1	1
chr6	27132370	27132750	381	-	8970	H2BC11	5954	0.0017	0.36	5	3.52	0.435	0.0123	0.00107	405	1	1
chr9	5450503	5470566	20064	+	29126	CD274	9355	0.0017	0.36	8	2.96	1.03	0.00916	0.00118	873	1	1
chr6	115931149	116060891	129743	-	2444	FRK	1666	0.0018	0.37	10	2.81	1.42	0.00659	9.39e-4	1518	1	1
chr1	148102046	148152322	50277	-	200030	NBPF11	16807	0.0018	0.37	15	2.7	2.3	0.00511	7.84e-4	2937	1	1
chr7	102551232	102661398	110167	+	100310812	SPDYE2B	22451	0.0018	0.37	44	2.6	7.27	0.00516	8.52e-4	8530	1	1
chr3	48856926	48898904	41979	-	788	SLC25A20	557	0.0019	0.39	8	3.06	0.957	0.00775	9.27e-4	1032	1	1
chr22	41092592	41180077	87486	+	2033	EP300	1424	0.002	0.4	46	2.54	7.91	0.00611	0.00105	7533	1	1
chr1	150574551	150579738	5188	-	4170	MCL1	2844	0.002	0.4	25	2.63	4.04	0.0177	0.00287	1410	1	1
chr14	75522455	75547004	24550	+	10538	BATF	7201	0.002	0.4	8	3.04	0.972	0.0149	0.00181	537	1	1
chr10	28532493	28623112	90620	+	51322	WAC	9847	0.002	0.4	20	2.69	3.1	0.00557	8.63e-4	3591	1	1
chr9	7796500	7888380	91881	-	90871	DMAC1	14298	0.0022	0.43	4	3.72	0.304	0.0118	8.97e-4	339	1	1
chr14	95711747	95757656	45910	+	107984703	LOC107984703	26846	0.0023	0.45	12	2.8	1.72	0.025	0.00359	480	1	1
chr19	7958573	8005659	47087	-	1994	ELAVL1	1392	0.0027	0.52	10	2.72	1.52	0.00793	0.0012	1261	1	1
chr5	150777946	150796734	18789	+	85027	SMIM3	14051	0.0027	0.52	3	3.87	0.206	0.0164	0.00112	183	1	1
chr6	26031594	26032099	506	-	8358	H3C2	5502	0.0028	0.53	6	2.99	0.756	0.0146	0.00184	411	1	1
chr6	27831216	27831527	312	-	8362	H4C12	5506	0.0029	0.55	5	2.93	0.657	0.016	0.00211	312	1	1
chr6	27810064	27811300	1237	+	8357	H3C10	5501	0.003	0.56	7	3.02	0.865	0.017	0.00211	411	1	1
chr3	187702313	187733849	31537	+	100131635	LOC100131635	21976	0.003	0.56	44	2.46	7.98	0.0177	0.00322	2483	1	1
chr3	4896809	4980414	83606	-	100507582	BHLHE40-AS1	23304	0.003	0.56	4	3.59	0.332	0.0155	0.00129	258	1	1
chr7	80369575	80679277	309703	+	948	CD36	675	0.0031	0.57	15	2.65	2.39	0.00495	7.89e-4	3030	1	1
chr11	36483769	36510272	26504	-	7189	TRAF6	4960	0.0032	0.58	12	2.71	1.83	0.00765	0.00117	1569	1	1
chr8	144262045	144291438	29394	-	23246	BOP1	8167	0.0032	0.58	27	2.52	4.72	0.00917	0.0016	2943	1	1
chr5	52787916	52825210	37295	+	53918	PELO	10150	0.0032	0.58	7	2.87	0.956	0.00574	7.84e-4	1219	1	1
chr7	5527148	5563784	36637	-	60	ACTB	48	0.0033	0.59	45	2.45	8.25	0.015	0.00274	3008	1	1
chr11	128458761	128587558	128798	-	2113	ETS1	1480	0.0033	0.59	35	2.43	6.48	0.0198	0.00366	1768	1	1
chr5	70049612	70953040	903429	+	6607	SMN2	4511	0.0034	0.6	14	2.6	2.31	0.00444	7.31e-4	3154	1	1
chr9	37879400	37904353	24954	-	92014	SLC25A51	14412	0.0034	0.6	6	2.84	0.838	0.00671	9.38e-4	894	1	1
chr22	41174591	41197456	22866	-	101927279	EP300-AS1	24552	0.0035	0.61	15	2.57	2.53	0.00608	0.00102	2466	1	1
chr14	100275729	100278470	2742	+	102466730	MIR6764	25764	0.0035	0.61	9	2.67	1.42	0.0191	0.003	472	1	1
chr6	26215159	26216692	1534	-	8339	H2BC8	5483	0.0037	0.63	10	2.74	1.5	0.0262	0.00392	381	1	1
chr3	75738280	75738363	84	+	100422955	MIR4273	22635	0.0037	0.63	2	4.79	0.0721	0.0238	8.58e-4	84	1	1
chr10	49818279	49970203	151925	-	8505	PARG	5605	0.0038	0.65	16	2.56	2.71	0.00458	7.76e-4	3497	1	1
chr5	70049638	70953942	904305	+	6606	SMN1	4510	0.0041	0.69	14	2.6	2.31	0.00444	7.31e-4	3154	1	1
chr5	6599239	6633291	34053	-	54888	NSUN2	10472	0.0041	0.69	14	2.58	2.35	0.00558	9.35e-4	2510	1	1
chr4	82352498	82374503	22006	-	3184	HNRNPD	2181	0.0042	0.7	13	2.57	2.18	0.00741	0.00124	1755	1	1
chr13	113584721	113641473	56753	+	7027	TFDP1	4823	0.0042	0.7	8	2.71	1.22	0.0056	8.55e-4	1429	1	1
chr5	176880869	176899346	18478	-	3101	HK3	2121	0.0044	0.72	16	2.51	2.8	0.00485	8.5e-4	3296	1	1
chr12	49018975	49059774	40800	-	8085	KMT2D	5392	0.0044	0.72	180	2.3	36.5	0.0107	0.00217	16860	1	1
chr1	173931214	174022297	91084	-	149041	RC3H1	16054	0.0044	0.72	17	2.44	3.12	0.00459	8.43e-4	3703	1	1
chr13	36998816	37009614	10799	+	11340	EXOSC8	7815	0.0045	0.73	6	2.7	0.923	0.00584	8.97e-4	1028	1	1
chr1	227730425	227735411	4987	-	65094	JMJD4	12390	0.0046	0.73	10	2.54	1.72	0.0057	9.82e-4	1755	1	1
chr7	19695461	19709037	13577	-	221830	TWISTNB	17159	0.0046	0.73	6	2.72	0.913	0.0059	8.97e-4	1017	1	1
chr1	204141404	204143327	1924	+	101929441	ERLNC1	25316	0.0046	0.73	1	4.37	0.0485	0.0185	8.97e-4	54	1	1
chr19	51097606	51108409	10804	-	90353	CTU1	14235	0.0047	0.74	6	2.71	0.918	0.00573	8.77e-4	1047	1	1
chr8	123013170	123042302	29133	-	79139	DERL1	12539	0.0049	0.77	6	2.65	0.953	0.00717	0.00114	837	1	1
chr5	70025247	70918530	893284	+	8293	SERF1A	5454	0.005	0.77	12	2.55	2.05	0.00423	7.21e-4	2838	1	1
chr6	27893463	27893843	381	+	8348	H2BC17	5492	0.005	0.77	5	3.03	0.613	0.0131	0.00161	381	1	1
chr18	79964582	79970822	6241	+	440498	HSBP1L1	19930	0.005	0.77	3	3.1	0.351	0.00962	0.00112	312	1	1
chr5	70025356	70918520	893165	+	728492	SERF1B	21259	0.0055	0.85	12	2.55	2.05	0.00423	7.21e-4	2838	1	1
chr3	187368385	187372076	3692	+	64108	RTP4	12128	0.0056	0.86	4	2.78	0.581	0.0054	7.84e-4	741	0.99	1
chr13	100530164	100589528	59365	-	87769	GGACT	14139	0.0059	0.9	5	2.93	0.657	0.00781	0.00103	640	1	1
chr4	141636583	141733987	97405	+	3600	IL15	2416	0.006	0.9	3	2.88	0.406	0.00579	7.84e-4	518	0.99	1
chr5	175917873	176034680	116808	-	84321	THOC3	13706	0.006	0.9	10	2.54	1.72	0.00487	8.36e-4	2053	1	1
chr16	2682523	2709030	26508	+	54442	KCTD5	10224	0.0062	0.92	7	2.75	1.04	0.00811	0.00121	863	1	1
chr7	140719327	140924928	205602	-	673	BRAF	473	0.0063	0.92	18	2.32	3.59	0.00491	9.8e-4	3665	0.99	1
chr3	81489703	81761645	271943	-	2632	GBE1	1759	0.0063	0.92	10	2.56	1.69	0.0047	7.95e-4	2129	1	1
chr6	85607785	85643792	36008	-	10492	SYNCRIP	7166	0.0063	0.92	13	2.48	2.33	0.00478	8.58e-4	2721	1	1
chr17	76265348	76271298	5951	+	283991	UBALD2	17731	0.0063	0.92	6	2.57	1.01	0.00872	0.00146	688	0.99	1
chr17	40309180	40357643	48464	+	5914	RARA	4005	0.0064	0.93	19	2.36	3.69	0.00941	0.00183	2019	0.99	1
chr7	102637049	102671641	34593	-	246721	POLR2J2	17252	0.0067	0.96	13	2.38	2.5	0.00454	8.72e-4	2864	0.99	1
chr7	102637025	102642791	5767	-	100134938	UPK3BL1	22091	0.0067	0.96	5	2.94	0.65	0.00631	8.2e-4	792	1	1
chr5	72816312	72916733	100422	+	3842	TNPO1	2611	0.0068	0.97	13	2.47	2.35	0.0045	8.15e-4	2886	1	1
chr4	25861830	25929874	68045	+	389203	SMIM20	19050	0.0069	0.98	10	2.47	1.8	0.012	0.00216	835	0.99	1
chr17	37686431	37745105	58675	-	6928	HNF1B	4769	0.0073	1	13	2.36	2.53	0.00545	0.00106	2384	0.99	1
chr4	1871393	1982207	110815	+	7468	NSD2	5131	0.0075	1	27	2.28	5.56	0.00486	0.001	5560	0.99	1
chr4	4235542	4248223	12682	-	85013	TMEM128	14043	0.0075	1	4	2.9	0.537	0.00765	0.00103	523	1	1
chr15	81000923	81005788	4866	+	59274	TLNRD1	11961	0.0077	1	7	2.65	1.12	0.00643	0.00103	1089	1	1
chr2	184598529	184939492	340964	+	91752	ZNF804A	14386	0.0077	1	14	2.4	2.66	0.00386	7.33e-4	3630	0.99	1
chr20	31721507	31723409	1903	+	103021294	ABALON	26102	0.0078	1	11	2.33	2.19	0.00676	0.00134	1628	0.99	1
chr13	36819224	36829104	9881	+	5994	RFXAP	4067	0.0079	1	5	2.64	0.804	0.00611	9.82e-4	819	0.99	1
chr10	18545561	18659285	113725	-	221078	NSUN6	17099	0.0079	1	8	2.54	1.38	0.00494	8.52e-4	1619	0.99	1
chr19	38596346	38601694	5349	+	105372397	LOC105372397	26433	0.0081	1	6	2.55	1.02	0.00943	0.00161	636	0.99	1
chr5	151029945	151093577	63633	-	10318	TNIP1	7030	0.0083	1	22	2.22	4.71	0.00829	0.00178	2655	0.99	1
chr6	26026815	26027252	438	-	8366	H4C2	5510	0.0084	1	4	2.8	0.574	0.0128	0.00184	312	1	1
chr9	136359480	136363744	4265	-	728489	DNLZ	21258	0.0084	1	6	2.69	0.933	0.00905	0.00141	663	1	1
chr2	70087477	70089203	1727	+	5093	PCBP1	3386	0.0085	1	14	2.26	2.93	0.0131	0.00273	1071	0.99	1
chr9	37422666	37436990	14325	+	9380	GRHPR	6249	0.0086	1	33	2.2	7.17	0.0169	0.00366	1958	0.99	1
chrX	154541199	154565046	23848	+	8517	IKBKG	5617	0.0087	1	15	2.26	3.12	0.00536	0.00112	2796	0.99	1
chr9	128305159	128322447	17289	-	26995	TRUB2	9047	0.0087	1	7	2.43	1.3	0.00683	0.00127	1025	0.99	1
chr6	31575565	31578336	2772	+	7124	TNF	4905	0.0088	1	8	2.52	1.4	0.0114	0.00199	702	0.99	1
chr20	43914852	44069616	154765	+	84969	TOX2	14018	0.0088	1	10	2.36	1.94	0.00465	9.04e-4	2149	0.99	1
